SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Initial Temperature (C),Final Temperature (C),Increment Temperature (C),Initial Pressure (MPa),Final Pressure (MPa),Increment Pressure (MPa),dp/dt,log fo2 Path,Mode
61.83,1.67,13.94,9.17,0.19,2.27,6.07,2.87,1.74,0.25,0.1,1200,800,1,0.1,0.1,0,0,NNO,Equilibrium
61.07,1.59,14.09,9.41,0.15,2.59,6.49,2.8,1.58,0.22,1,,,,10,10,0,,FMQ,
61.73,1.65,13.56,9.48,0.12,2.12,6.12,2.96,2.04,0.21,1.5,,,,20,20,0,,,
61.4176,1.6708,13.9102,9.275,0.1278,2.4524,6.312,2.7764,1.8744,0.1838,2,,,,30,30,0,,,
61.93,1.77,13.32,9.84,0.11,2.07,5.82,2.87,2.02,0.25,2.5,,,,40,40,0,,,
61.51,1.58,14.2,8.85,0.16,2.26,6.33,3.1,1.82,0.21,3,,,,50,50,0,,,
61.55,1.61,13,10.39,0.17,2.25,6.09,2.9,1.8,0.24,4,,,,60,60,0,,,
61.22,1.42,13.86,10.02,0.16,2.23,6.28,2.89,1.7,0.24,5,,,,70,70,0,,,
62.71,1.7,13.33,9.23,0.14,2.08,5.72,3.01,1.83,0.25,8,,,,80,80,0,,,
62.85,1.56,13.27,9.2,0.11,1.75,5.66,3.45,1.94,0.22,,,,,90,90,0,,,
63.23,1.81,12.91,9.9,0.13,1.02,5.23,3.56,1.94,0.27,,,,,100,100,0,,,
62.28,1.5,13.68,9.21,0.21,2.02,5.89,3.03,1.95,0.23,,,,,110,110,0,,,
,,,,,,,,,,,,,,120,120,0,,,
,,,,,,,,,,,,,,130,130,0,,,
,,,,,,,,,,,,,,140,140,0,,,
,,,,,,,,,,,,,,150,150,0,,,
,,,,,,,,,,,,,,160,160,0,,,
,,,,,,,,,,,,,,170,170,0,,,
,,,,,,,,,,,,,,180,180,0,,,
,,,,,,,,,,,,,,190,190,0,,,
,,,,,,,,,,,,,,200,200,0,,,
