Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Initial Temperature (C),Final Temperature (C),Increment Temperature (C),Initial Pressure (MPa),Final Pressure (MPa),Increment Pressure (MPa),dp/dt,log fo2 Path,Mode
JB-1,52.18,1.36,14.51,2.3,6.06,0.16,7.67,9.21,2.8,1.42,0.26,0.1,1400,500,10,0.1,0.1,0,0,NNO,Equilibrium
JG-1,72.24,0.25,14.21,0.36,1.64,0.06,0.73,2.21,3.38,3.95,0.1,1,,,,50,50,0,,FMQ,
,,,,,,,,,,,,2,,,,100,100,0,,,
,,,,,,,,,,,,3,,,,150,150,0,,,
,,,,,,,,,,,,4,,,,200,200,0,,,
,,,,,,,,,,,,5,,,,250,250,0,,,
,,,,,,,,,,,,,,,,300,300,0,,,
,,,,,,,,,,,,,,,,350,350,0,,,
,,,,,,,,,,,,,,,,400,400,0,,,
,,,,,,,,,,,,,,,,450,450,0,,,
,,,,,,,,,,,,,,,,500,500,0,,,
,,,,,,,,,,,,,,,,550,550,0,,,
,,,,,,,,,,,,,,,,600,600,0,,,
